,sequence,session_id,speaker,content,Human,AI,Utterance ID
33,28,TalkBack.Year1.Benson.Fall.121019.xlsx,T,You have about another minute and a half,,,27
34,29,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Okay,,,28
35,30,TalkBack.Year1.Benson.Fall.121019.xlsx,T,30 more seconds,,,29
36,31,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Both of those different problems,,,30
37,32,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Show me on your fingers if you need more time,,,31
38,33,TalkBack.Year1.Benson.Fall.121019.xlsx,T,How many minutes do you need,,,32
39,34,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Five is not going to happen,,,33
40,35,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Two and three so Ill give about two and a half more,,,34
41,36,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Hustle up,,,35
42,37,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Okay,,,36
49,38,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Times up,,,37
50,39,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Lets see what you got two,,,38
51,40,TalkBack.Year1.Benson.Fall.121019.xlsx,T,All right who did pink problems,Keeping Everyone Together,,39
52,41,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Okay so,,,40
53,42,TalkBack.Year1.Benson.Fall.121019.xlsx,T,4 times 50,Pressing for Accuracy,,41
54,43,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,42
55,44,TalkBack.Year1.Benson.Fall.121019.xlsx,T,30 times 7,Pressing for Accuracy,,43
56,45,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,44
57,46,TalkBack.Year1.Benson.Fall.121019.xlsx,T,70 times 8,Pressing for Accuracy,Pressing for Accuracy,45
58,47,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,46
59,48,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,47
60,49,TalkBack.Year1.Benson.Fall.121019.xlsx,T,I hear you thinking,,,48
61,50,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Basic facts with what,Pressing for Accuracy,Pressing for Accuracy,49
62,51,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Yes,,,50
64,52,TalkBack.Year1.Benson.Fall.121019.xlsx,T,I heard it,,,51
65,53,TalkBack.Year1.Benson.Fall.121019.xlsx,T,I heard you say 56 and  thinking through,,Revoicing,52
66,54,TalkBack.Year1.Benson.Fall.121019.xlsx,T,20 times 40,Pressing for Accuracy,Pressing for Accuracy,53
67,55,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,54
68,56,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Why Clayton,Pressing for Reasoning,Pressing for Reasoning,55
69,57,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Why not 80,Pressing for Reasoning,Pressing for Reasoning,56
70,58,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Because 80 wouldnt work because theres 2 zeros added,,,57
71,59,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Okay,,,58
78,60,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Basic fact in there,,Pressing for Accuracy,59
79,61,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Two extra zeros added in there,Revoicing,Revoicing,60
80,62,TalkBack.Year1.Benson.Fall.121019.xlsx,T,70 times 40,Pressing for Accuracy,Pressing for Accuracy,61
81,63,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,62
82,64,TalkBack.Year1.Benson.Fall.121019.xlsx,T,9 times 30,Pressing for Accuracy,Pressing for Accuracy,63
83,65,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,64
84,66,TalkBack.Year1.Benson.Fall.121019.xlsx,T,60 times 800,Pressing for Accuracy,Pressing for Accuracy,65
85,67,TalkBack.Year1.Benson.Fall.121019.xlsx,S,804 80000 48000,,,66
86,68,TalkBack.Year1.Benson.Fall.121019.xlsx,T,,,,67
87,69,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Why 48000 and not 4800,Pressing for Reasoning,Pressing for Reasoning,68
88,70,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Matt why not,Pressing for Reasoning,Pressing for Reasoning,69
89,71,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Because there is 4 zeros,,,70
90,72,TalkBack.Year1.Benson.Fall.121019.xlsx,T,4 extra zeros to your basic fact,Restating,Revoicing,71
91,73,TalkBack.Year1.Benson.Fall.121019.xlsx,T,600 times 40,Pressing for Accuracy,Pressing for Accuracy,72
92,74,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,73
93,75,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,74
94,76,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,75
95,77,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,76
96,78,TalkBack.Year1.Benson.Fall.121019.xlsx,T,I heard that 24000,,Restating,77
97,79,TalkBack.Year1.Benson.Fall.121019.xlsx,T,900 times 9,Pressing for Accuracy,,78
98,80,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,79
99,81,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,80
100,82,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Oh I hear 8100,,Revoicing,81
101,83,TalkBack.Year1.Benson.Fall.121019.xlsx,T,I hear 81 000 Whos correct,Pressing for Accuracy,Getting Students to Relate to Another's Ideas,82
102,84,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,83
103,85,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Why,Pressing for Reasoning,Pressing for Reasoning,84
104,86,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Why is it not 81000,Pressing for Reasoning,Pressing for Reasoning,85
105,87,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Because there is only 2 zeros,,,86
106,88,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Two zeros,Restating,Restating,87
107,89,TalkBack.Year1.Benson.Fall.121019.xlsx,T,So if I write product for my basic fact David how many zeros should I add to the end of that,Pressing for Accuracy,Pressing for Accuracy,88
108,90,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,89
109,91,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,90
110,92,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Do you revise your thinking,Keeping Everyone Together,,91
111,93,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Yes,,,92
113,94,TalkBack.Year1.Benson.Fall.121019.xlsx,S,,,,93
114,95,TalkBack.Year1.Benson.Fall.121019.xlsx,T,It was following a pattern and then it messed you up didnt it,Keeping Everyone Together,,94
115,96,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Yes,,,95
116,97,TalkBack.Year1.Benson.Fall.121019.xlsx,T,All right,,,96
118,98,TalkBack.Year1.Benson.Fall.121019.xlsx,T,You may erase yes,,,97
119,99,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Erase your whiteboard,,,98
120,100,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Hi,,,99
121,101,TalkBack.Year1.Benson.Fall.121019.xlsx,T,On your math journal on the top two problems Thank you,,,100
122,102,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Whats different from the problem that were looking at compared to what weve been doing,Pressing for Accuracy,Pressing for Reasoning,101
123,103,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Jesse whats different about this problem,Pressing for Accuracy,Pressing for Reasoning,102
124,104,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Its multiplication,,,103
125,105,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Weve been working on multiplication all unit long so whats different about this,Pressing for Accuracy,Pressing for Reasoning,104
126,106,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Were doing a twodigit number times a twodigit number,,,105
127,107,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Were doing a twodigit number times a twodigit number,Restating,Restating,106
128,108,TalkBack.Year1.Benson.Fall.121019.xlsx,T,What have we been doing,Pressing for Accuracy,Pressing for Accuracy,107
129,109,TalkBack.Year1.Benson.Fall.121019.xlsx,T,A twodigit times a onedigit right,Keeping Everyone Together,,108
130,110,TalkBack.Year1.Benson.Fall.121019.xlsx,T,So its a little bit different,,,109
131,111,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Let me make sure I have the right I dont think I have the right page,,,110
132,112,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Thats not the right one,,,111
133,113,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Yes thats not the right one,,,112
134,114,TalkBack.Year1.Benson.Fall.121019.xlsx,T,I was going to say This is not the right page,,,113
135,115,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Thats so interesting that it has,,,114
136,116,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Its page 130,,,115
137,117,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Thank you,,,116
140,118,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Theyre having to look back at that page and I think I copied the wrong one onto the screen,,,117
141,119,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Sorry about that,,,118
142,120,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Lets get the right page up,,,119
143,121,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Yes,,,120
144,122,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Its thinking,,,121
145,123,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Think think think,,,122
146,124,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Its really thinking and thinking and thinking,,,123
147,125,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Well have to use the book,,,124
148,126,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Okay,,,125
149,127,TalkBack.Year1.Benson.Fall.121019.xlsx,T,All right,,,126
151,128,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Here is the correct page so when I ask us whats different about this problem it makes more sense now,,,127
152,129,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Were doing twodigit numbers times twodigit numbers whereas before we were doing twodigit numbers times a onedigit number,,,128
153,130,TalkBack.Year1.Benson.Fall.121019.xlsx,T,All right someone who has theirs drawn and feels pretty confident about their work the way they worked that problem with a partition rectangle raise your hand if you feel pretty confident and you wanted to come share,,Pressing for Reasoning,129
154,131,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Carson you want to bring your book up here,Keeping Everyone Together,,130
155,132,TalkBack.Year1.Benson.Fall.121019.xlsx,T,You lay your book right on top of mine and we should be able to see it really well,,,131
156,133,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Can you talk us through what you did,Pressing for Accuracy,Pressing for Reasoning,132
157,134,TalkBack.Year1.Benson.Fall.121019.xlsx,S,I Jesse the  three up there and then multiply 3 times 2 equals 6,,,133
158,135,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Then add 2 zeros and multiply 4 times 2 equals 12 8,,,134
159,136,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Oh look at that revision right there good job lady,,,135
160,137,TalkBack.Year1.Benson.Fall.121019.xlsx,T,It helps to talk yourself through it doesnt it,Keeping Everyone Together,,136
161,138,TalkBack.Year1.Benson.Fall.121019.xlsx,T,So your answer will change a little bit wont it,Keeping Everyone Together,Pressing for Accuracy,137
162,139,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Im glad you saw that and we didnt have to correct you,,,138
163,140,TalkBack.Year1.Benson.Fall.121019.xlsx,S,4 times 2 equals 8,,,139
164,141,TalkBack.Year1.Benson.Fall.121019.xlsx,S,600 so I need to multiply 600 plus 80 equals 680,,,140
165,142,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Any disagreements with how Carson set up her partition rectangle,Getting Students to Relate to Another's Ideas,Getting Students to Relate to Another's Ideas,141
166,143,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Jesse,Keeping Everyone Together,,142
167,144,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Well Im not in disagreement but,,,143
168,145,TalkBack.Year1.Benson.Fall.121019.xlsx,T,She just talked you through,,,144
169,146,TalkBack.Year1.Benson.Fall.121019.xlsx,T,What did you do differently,Getting Students to Relate to Another's Ideas,Getting Students to Relate to Another's Ideas,145
170,147,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Well I think she got 600 for 20 times 30 but I didnt get that,,,146
171,148,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Did you forget to add 2 zeros,Keeping Everyone Together,Pressing for Accuracy,147
172,149,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Yes,,,148
173,150,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Do you see where your revision would happen,Keeping Everyone Together,Pressing for Accuracy,149
174,151,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Okay,,,150
181,152,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Anyone else have a different response,Getting Students to Relate to Another's Ideas,Getting Students to Relate to Another's Ideas,151
182,153,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Anyone do it differently as far as the partition rectangle goes,Getting Students to Relate to Another's Ideas,Getting Students to Relate to Another's Ideas,152
183,154,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Everyone on the count of three were going to give Carson a big excellent,,,153
184,155,TalkBack.Year1.Benson.Fall.121019.xlsx,T,One two three,,,154
185,156,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Excellent,,,155
186,157,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Thank you,,,156
189,158,TalkBack.Year1.Benson.Fall.121019.xlsx,T,My book is still up there so you wont see the partition rectangle anymore,,,157
190,159,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Who got all the way to doing it partial product way,Keeping Everyone Together,,158
191,160,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Anyone feel pretty confident about how they did it and would be willing to share,Pressing for Accuracy,Pressing for Reasoning,159
192,161,TalkBack.Year1.Benson.Fall.121019.xlsx,T,These hands went Matt feeling confident,Keeping Everyone Together,,160
193,162,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Put your book right on top of mine and well be able to see what youre doing,,,161
194,163,TalkBack.Year1.Benson.Fall.121019.xlsx,S,I did 2 times 3 and added the zeros so I got 600,,,162
195,164,TalkBack.Year1.Benson.Fall.121019.xlsx,S,I got 600 because of the 2 zeros,,,163
196,165,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Then I did 2 times 4 and then I added a zero and got 80,,,164
197,166,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Then put plus 80,,,165
198,167,TalkBack.Year1.Benson.Fall.121019.xlsx,S,606,,,166
199,168,TalkBack.Year1.Benson.Fall.121019.xlsx,S,88,,,167
200,169,TalkBack.Year1.Benson.Fall.121019.xlsx,S,0,,,168
201,170,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Anyone do it differently,Getting Students to Relate to Another's Ideas,Getting Students to Relate to Another's Ideas,169
202,171,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Dakota do you have a different answer or did you just do the process differently,Getting Students to Relate to Another's Ideas,Pressing for Reasoning,170
203,172,TalkBack.Year1.Benson.Fall.121019.xlsx,S,I did the process differently,,,171
204,173,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Okay thank you,,,172
205,174,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Lets give Matt a yeehaw,,,173
206,175,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Yeehaw,,,174
207,176,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Thank you Matt for being brave,,,175
208,177,TalkBack.Year1.Benson.Fall.121019.xlsx,T,All right Dakota go show us what you did differently,,Pressing for Reasoning,176
209,178,TalkBack.Year1.Benson.Fall.121019.xlsx,T,It takes a lot of courage to go up there,,,177
210,179,TalkBack.Year1.Benson.Fall.121019.xlsx,S,I wrote down 30 plus 20times 20,,,178
211,180,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Times 20 thank you,Restating,Restating,179
212,181,TalkBack.Year1.Benson.Fall.121019.xlsx,S,then I put 30 times 20 equals 600,,,180
213,182,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Then I added 4 times 20 equals 80 and then I got 680,,,181
214,183,TalkBack.Year1.Benson.Fall.121019.xlsx,T,So you did it right underneath the way that they kind of modeled for us,Keeping Everyone Together,Revoicing,182
215,184,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Yes,,,183
216,185,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Everyone understand and agree,Getting Students to Relate to Another's Ideas,Keeping Everyone Together,184
217,186,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Any disagreements on how Matt or Dakota solved their problem,Getting Students to Relate to Another's Ideas,Getting Students to Relate to Another's Ideas,185
218,187,TalkBack.Year1.Benson.Fall.121019.xlsx,S,No,,,186
219,188,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Lets give her a shhshhshhshhshh your great,,,187
220,189,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Shhshhshhshhshh your great,,,188
221,190,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Thank you for sharing,,,189
222,191,TalkBack.Year1.Benson.Fall.121019.xlsx,T,All right my friends,,,190
223,192,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Were going to do a couple of practice questions,,,191
224,193,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Take out your whiteboard,,,192
225,194,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Please show me a partition rectangle for the problem 30 times 87 on your whiteboard,,,193
226,195,TalkBack.Year1.Benson.Fall.121019.xlsx,T,A partition rectangle of 30 and 87,,,194
227,196,TalkBack.Year1.Benson.Fall.121019.xlsx,T,All right what I want you to do is look at your face partner,,Keeping Everyone Together,195
228,197,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Carson come,,,196
229,198,TalkBack.Year1.Benson.Fall.121019.xlsx,T,You guys be just a group of three,,,197
230,199,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Actually Dallas will you go be Carsons face partner a little bit,,,198
231,200,TalkBack.Year1.Benson.Fall.121019.xlsx,T,face partner on the table and one of yours is Lisa,,,199
232,201,TalkBack.Year1.Benson.Fall.121019.xlsx,T,You be partners with Megan,,,200
233,202,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Please go quick or Carson you can go there,,,201
234,203,TalkBack.Year1.Benson.Fall.121019.xlsx,T,It might be easier if you can go up there,,,202
235,204,TalkBack.Year1.Benson.Fall.121019.xlsx,T,I want you to take your whiteboard and swap with your face partner,,Keeping Everyone Together,203
236,205,TalkBack.Year1.Benson.Fall.121019.xlsx,T,I want you to analyze all these little problems,,Pressing for Reasoning,204
237,206,TalkBack.Year1.Benson.Fall.121019.xlsx,T,If you disagree I want you to talk about what you didnt do or if you have questions about what they did,,Getting Students to Relate to Another's Ideas,205
238,207,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Can you listen to directions first so you know what you need to do,,Keeping Everyone Together,206
239,208,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Thank you,,,207
242,209,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Analyze what your partner did,,Getting Students to Relate to Another's Ideas,208
243,210,TalkBack.Year1.Benson.Fall.121019.xlsx,T,See if you can follow the steps that they took,,Getting Students to Relate to Another's Ideas,209
244,211,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Make sure you agree with them,,Getting Students to Relate to Another's Ideas,210
245,212,TalkBack.Year1.Benson.Fall.121019.xlsx,T,If you disagree or youre confused on what steps they took I want you to ask them about it,,Getting Students to Relate to Another's Ideas,211
246,213,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Why did you write 240,Pressing for Reasoning,Pressing for Reasoning,212
247,214,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Why did you write 180,Pressing for Reasoning,Pressing for Reasoning,213
248,215,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Why did you add these numbers together,Pressing for Reasoning,Pressing for Reasoning,214
249,216,TalkBack.Year1.Benson.Fall.121019.xlsx,T,I dont understand how you can put your rectangle,,Pressing for Reasoning,215
250,217,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Those are the kinds of questions I want you to be asking each other,,Keeping Everyone Together,216
251,218,TalkBack.Year1.Benson.Fall.121019.xlsx,T,If you totally agree I want you to describe what your partner did,,Getting Students to Relate to Another's Ideas,217
252,219,TalkBack.Year1.Benson.Fall.121019.xlsx,T,I see that you split your rectangle into blah blah blah because Talk through your problems,,Pressing for Reasoning,218
253,220,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Make sure you give your partner  that,,Keeping Everyone Together,219
254,221,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Thank you for  to explain,,,220
255,222,TalkBack.Year1.Benson.Fall.121019.xlsx,T,I would like Jesse and Faith to come and explain how they did their problem,Pressing for Accuracy,Pressing for Reasoning,221
256,223,TalkBack.Year1.Benson.Fall.121019.xlsx,T,I need you to come up and you can just show on your whiteboard if you want,,,222
257,224,TalkBack.Year1.Benson.Fall.121019.xlsx,T,You can write on my whiteboard if you want,,,223
258,225,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Is that marker not working,,,224
259,226,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Three times seven that equals 21,,,225
260,227,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Then I added a zero because theres a zero to three and I added three times eight equals 24,,,226
261,228,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Then I added two zeros,,,227
262,229,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Did you really,Keeping Everyone Together,Pressing for Accuracy,228
263,230,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Yes,,,229
264,231,TalkBack.Year1.Benson.Fall.121019.xlsx,T,All right where,Pressing for Accuracy,Pressing for Accuracy,230
265,232,TalkBack.Year1.Benson.Fall.121019.xlsx,T,How,Pressing for Accuracy,Pressing for Reasoning,231
266,233,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Keep that,,,232
267,234,TalkBack.Year1.Benson.Fall.121019.xlsx,T,What did you notice that Faith did while she was reworking her problem,Getting Students to Relate to Another's Ideas,Getting Students to Relate to Another's Ideas,233
268,235,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Because this is really what she had on her original whiteboard and Richard had on his original whiteboard,,,234
269,236,TalkBack.Year1.Benson.Fall.121019.xlsx,T,What did she do as she was working through the second time Jocelyn,Getting Students to Relate to Another's Ideas,Getting Students to Relate to Another's Ideas,235
270,237,TalkBack.Year1.Benson.Fall.121019.xlsx,S,When she did 30 times 80 she forgot to add another zero,,,236
271,238,TalkBack.Year1.Benson.Fall.121019.xlsx,T,But as she was working it did she actually do it right the first time,Getting Students to Relate to Another's Ideas,,237
272,239,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Yes,,,238
273,240,TalkBack.Year1.Benson.Fall.121019.xlsx,T,She did,Revoicing,,239
274,241,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Thats why I said Really you did,,,240
275,242,TalkBack.Year1.Benson.Fall.121019.xlsx,T,because when you first worked it you just added one zero but when you worked it the second time you actually did it right,,,241
276,243,TalkBack.Year1.Benson.Fall.121019.xlsx,T,How many extra zeros are in the  problem,Pressing for Accuracy,Pressing for Accuracy,242
277,244,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Two,,,243
278,245,TalkBack.Year1.Benson.Fall.121019.xlsx,T,When you started working it the second time you realized that actually should have two zeros because eight times three is 24 but with an extra 10 here and another extra 10 here theres only going to be two zeros,Revoicing,Revoicing,244
279,246,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Every single person except for You missed that the first time right Pat,Keeping Everyone Together,,245
280,247,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Most of you are being really careful to make sure you add the zeros on,,,246
281,248,TalkBack.Year1.Benson.Fall.121019.xlsx,T,It makes a huge difference,,,247
282,249,TalkBack.Year1.Benson.Fall.121019.xlsx,T,2400 is not very close to 240 is it,Keeping Everyone Together,Pressing for Accuracy,248
283,250,TalkBack.Year1.Benson.Fall.121019.xlsx,S,No,,,249
284,251,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Makes a huge difference on the total amount of your product when you finally add everything together,,,250
285,252,TalkBack.Year1.Benson.Fall.121019.xlsx,T,That was really cool to watch you,,,251
286,253,TalkBack.Year1.Benson.Fall.121019.xlsx,T,You had it and then I asked you and you were like Oh wait wait,,,252
287,254,TalkBack.Year1.Benson.Fall.121019.xlsx,T,No,,,253
288,255,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Joel thank you,,,254
289,256,TalkBack.Year1.Benson.Fall.121019.xlsx,S,Me and David did the same thing just,,,255
290,257,TalkBack.Year1.Benson.Fall.121019.xlsx,T,Then when I walked by it was like,,,256
